"city","city_ascii","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Taycheedah","Taycheedah","WI","Wisconsin","55039","Fond du Lac","55039","Fond du Lac","43.8122","-88.3914","908","474","polygon","FALSE","FALSE","America/Chicago","3","54937 54935","1840024010"
"Hartford","Hartford","WI","Wisconsin","55131","Washington","55131|55131","Washington|Washington","43.3220","-88.3782","15064","704","polygon","FALSE","TRUE","America/Chicago","3","53027","1840002831"
"St. Cloud","St. Cloud","WI","Wisconsin","55039","Fond du Lac","55039","Fond du Lac","43.8245","-88.1687","463","194","polygon","FALSE","TRUE","America/Chicago","3","53079","1840002611"
"Milton","Milton","WI","Wisconsin","55105","Rock","55105","Rock","42.7751","-88.9430","5581","505","polygon","FALSE","TRUE","America/Chicago","3","53563","1840002473"
"West Salem","West Salem","WI","Wisconsin","55063","La Crosse","55063","La Crosse","43.8989","-91.0882","5026","579","polygon","FALSE","TRUE","America/Chicago","3","54669","1840002575"
"Tigerton","Tigerton","WI","Wisconsin","55115","Shawano","55115","Shawano","44.7409","-89.0459","709","150","polygon","FALSE","TRUE","America/Chicago","3","54486","1840002258"
"Washburn","Washburn","WI","Wisconsin","55007","Bayfield","55007","Bayfield","46.6769","-90.9017","2048","202","polygon","FALSE","TRUE","America/Chicago","3","54891","1840003913"
"Adell","Adell","WI","Wisconsin","55117","Sheboygan","55117","Sheboygan","43.6214","-87.9482","511","355","polygon","FALSE","TRUE","America/Chicago","3","53001","1840002622"
"Wausaukee","Wausaukee","WI","Wisconsin","55075","Marinette","55075","Marinette","45.3780","-87.9552","561","157","polygon","FALSE","TRUE","America/Chicago","3","54177","1840003927"
"Phillips","Phillips","WI","Wisconsin","55099","Price","55099","Price","45.6958","-90.4018","1361","199","polygon","FALSE","TRUE","America/Chicago","3","54555","1840002011"
"Goodman","Goodman","WI","Wisconsin","55075","Marinette","55075","Marinette","45.6231","-88.3518","237","55","polygon","FALSE","FALSE","America/Chicago","3","54125","1840026081"
